slug,name,audio_filename,message
amigo-01,Amigo 1,amigo-01.mp3,
amigo-02,Amigo 2,amigo-02.mp3,
amigo-03,Amigo 3,amigo-03.mp3,
amigo-04,Amigo 4,amigo-04.mp3,
amigo-05,Amigo 5,amigo-05.mp3,
amigo-06,Amigo 6,amigo-06.mp3,
amigo-07,Amigo 7,amigo-07.mp3,
amigo-08,Amigo 8,amigo-08.mp3,
amigo-09,Amigo 9,amigo-09.mp3,
amigo-10,Amigo 10,amigo-10.mp3,
amigo-11,Amigo 11,amigo-11.mp3,
amigo-12,Amigo 12,amigo-12.mp3,
amigo-13,Amigo 13,amigo-13.mp3,
amigo-14,Amigo 14,amigo-14.mp3,
amigo-15,Amigo 15,amigo-15.mp3,
amigo-16,Amigo 16,amigo-16.mp3,
amigo-17,Amigo 17,amigo-17.mp3,
amigo-18,Amigo 18,amigo-18.mp3,
amigo-19,Amigo 19,amigo-19.mp3,
amigo-20,Amigo 20,amigo-20.mp3,
amigo-21,Amigo 21,amigo-21.mp3,
amigo-22,Amigo 22,amigo-22.mp3,
amigo-23,Amigo 23,amigo-23.mp3,
amigo-24,Amigo 24,amigo-24.mp3,
amigo-25,Amigo 25,amigo-25.mp3,
amigo-26,Amigo 26,amigo-26.mp3,
amigo-27,Amigo 27,amigo-27.mp3,
amigo-28,Amigo 28,amigo-28.mp3,
amigo-29,Amigo 29,amigo-29.mp3,
amigo-30,Amigo 30,amigo-30.mp3,
amigo-31,Amigo 31,amigo-31.mp3,
amigo-32,Amigo 32,amigo-32.mp3,
amigo-33,Amigo 33,amigo-33.mp3,
amigo-34,Amigo 34,amigo-34.mp3,
amigo-35,Amigo 35,amigo-35.mp3,
amigo-36,Amigo 36,amigo-36.mp3,
amigo-37,Amigo 37,amigo-37.mp3,
amigo-38,Amigo 38,amigo-38.mp3,
